2018-07-03T04:50:13.513Z - info: Pages built
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\introduction\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\useDefaultBranch\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\dontRecycleVarsOrParams\text.md
2018-07-03T06:26:48.893Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\avoidEmptyCatchBlocks\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\basic\deleteDeadCode\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\minimiseVariableScope\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\avoidShortcuts\intermediate\minimiseCodeDuplication\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\principles\dryPrinciple\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\principles\path.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\text.md
2018-07-03T06:26:48.894Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\introduction\text.md
2018-07-03T06:26:48.895Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\text.md
2018-07-03T06:26:48.895Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\dontRepeatObvious\text.md
2018-07-03T06:26:48.895Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\basic\writeToReader\text.md
2018-07-03T06:26:48.895Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\intermediate\text.md
2018-07-03T06:26:48.985Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\codeQuality\commentMinimally\intermediate\explainWhatWhyNotHow\text.md
